seed,sim_name,sensibility_parameter,sensibility_value,nb_agregats_om,nb_chateaux_om,nb_gros_chateaux_om,nb_seigneurs_om,nb_eglises_om,nb_eglises_paroissiales_om,distance_eglises_paroissiales_om,proportion_fp_isoles_om,augmentation_charge_fiscale_om,total_duration
7.0,4_5_OM,apparition_chateaux,1040,97,28,0,201,245,197,2082,0.1255,1.9872944693572496,201367
9.0,4_5_OM,apparition_chateaux,1040,103,28,0,206,236,187,1821,0.13575,1.9153769345981027,192910
6.0,4_5_OM,apparition_chateaux,1060,104,24,0,198,262,211,1793,0.11875,1.9240159441953162,200226
10.0,4_5_OM,apparition_chateaux,1100,96,16,0,194,227,166,2347,0.15375,1.745576875155744,160470
10.0,4_5_OM,apparition_chateaux,1080,104,20,0,202,249,190,1924,0.138,1.759780712683778,163475
9.0,4_5_OM,apparition_chateaux,1060,114,24,0,198,237,189,1928,0.139,1.8816774837743384,190569
7.0,4_5_OM,apparition_chateaux,1060,115,24,0,197,245,197,2063,0.127,1.7997010463378176,196418
8.0,4_5_OM,apparition_chateaux,1040,95,28,0,193,252,194,1707,0.1365,2.01275,204175
8.0,4_5_OM,apparition_chateaux,1060,122,24,0,194,252,199,1936,0.13025,1.90825,192065
4.0,4_5_OM,apparition_chateaux,1040,96,28,0,187,234,179,2070,0.12175,1.893,208720
3.0,4_5_OM,apparition_chateaux,1040,101,28,0,197,244,198,1944,0.1215,2.0192259675405744,204446
4.0,4_5_OM,apparition_chateaux,1060,120,24,0,178,237,187,2072,0.12525,1.75575,205304
3.0,4_5_OM,apparition_chateaux,1060,101,24,0,195,243,193,1811,0.131,2.0566791510611737,194761
5.0,4_5_OM,apparition_chateaux,1040,110,28,0,185,246,193,2096,0.13875,1.9770516338238961,215580
2.0,4_5_OM,apparition_chateaux,1100,108,16,0,193,241,192,2060,0.14925,1.8545409181636725,178096
2.0,4_5_OM,apparition_chateaux,1080,90,20,0,192,247,197,1946,0.15975,1.9196606786427146,182846
5.0,4_5_OM,apparition_chateaux,1060,107,24,0,195,254,203,2150,0.11925,1.7131454227987029,207746
10.0,4_5_OM,apparition_chateaux,1140,101,8,0,187,233,173,2341,0.158,1.6087714926488912,155647
10.0,4_5_OM,apparition_chateaux,1120,88,12,0,188,234,172,2093,0.16475,1.7896835285322703,160074
1.0,4_5_OM,apparition_chateaux,1080,122,20,0,200,245,195,1655,0.1235,1.7044322709163346,201189
1.0,4_5_OM,apparition_chateaux,1100,113,16,0,199,251,200,1710,0.12475,1.608316733067729,197512
6.0,4_5_OM,apparition_chateaux,1100,91,16,0,207,265,213,1759,0.14175,1.6215744892874937,185623
7.0,4_5_OM,apparition_chateaux,1080,128,20,0,191,246,198,2108,0.11275,1.6838565022421526,194294
6.0,4_5_OM,apparition_chateaux,1080,120,20,0,196,263,211,1887,0.12425,1.790483308420528,196902
